dT_cw_ref (Â°C),lcoe_nom (cents/kWh),lcoe_real (cents/kWh),annual_energy (kWh),capacity_factor (%),annual_energy (kWh)
10,7.90102,6.16887,1.27E+08,83.3758,1.27E+08
11,7.89432,6.16364,1.27E+08,83.458,1.27E+08
12,7.88573,6.15693,1.27E+08,83.5637,1.27E+08
13,7.87691,6.15005,1.28E+08,83.6724,1.28E+08
14,7.86603,6.14155,1.28E+08,83.8069,1.28E+08
15,7.85241,6.13092,1.28E+08,83.9759,1.28E+08
16,7.83861,6.12014,1.28E+08,84.1479,1.28E+08
17,7.82261,6.10766,1.29E+08,84.3481,1.29E+08
18,7.80491,6.09383,1.29E+08,84.5708,1.29E+08
19,7.78734,6.08011,1.29E+08,84.793,1.29E+08
20,7.76835,6.06529,1.30E+08,85.0344,1.30E+08
21,7.75002,6.05098,1.30E+08,85.2688,1.30E+08
22,7.7314,6.03644,1.30E+08,85.5082,1.30E+08
23,7.71349,6.02246,1.31E+08,85.7397,1.31E+08
24,7.69599,6.00879,1.31E+08,85.9671,1.31E+08
25,7.67949,5.99591,1.31E+08,86.1826,1.31E+08
26,7.66421,5.98398,1.32E+08,86.3833,1.32E+08
27,7.65071,5.97344,1.32E+08,86.5613,1.32E+08
28,7.63967,5.96482,1.32E+08,86.7074,1.32E+08
29,7.6319,5.95875,1.32E+08,86.8106,1.32E+08
30,7.62689,5.95484,1.33E+08,86.8771,1.33E+08
31,7.62453,5.953,1.33E+08,86.9086,1.33E+08
32,7.62473,5.95316,1.33E+08,86.9059,1.33E+08
33,7.62819,5.95585,1.32E+08,86.8599,1.32E+08
34,7.63534,5.96144,1.32E+08,86.7649,1.32E+08
35,7.64751,5.97094,1.32E+08,86.6036,1.32E+08
36,7.66531,5.98484,1.32E+08,86.3688,1.32E+08
37,7.6882,6.00271,1.31E+08,86.0687,1.31E+08
38,7.71001,6.01974,1.31E+08,85.7848,1.31E+08
39,7.73445,6.03882,1.30E+08,85.4689,1.30E+08
40,7.77749,6.07243,1.30E+08,84.918,1.30E+08